bilan_financier,actifs,revenu,depenses,taux_interet,flux_tresorerie,capital,agence,banque,lieu
57450.71229516849,29795.488056102015,2459.857380020495,546.0962210613045,4.850179875240412,9549.64914623858,36581.95674709359,Agence_Centre,Société Générale,Bafoussam
47926.03548243223,26472.43578038938,2884.385063427586,1069.807494610249,0.8540303016272166,6207.981496157909,38725.67091952296,Agence_Centre,UBA,Douala
59715.32807151039,20417.412589441217,2366.064063200031,1293.1972332891778,9.724613900279023,11458.554374685817,77179.59320885509,Agence_Sud,UBA,Bafoussam
72845.44784612038,15471.442556060982,2753.6307762887677,2443.8438286700953,5.180104313760979,4151.88473403273,36901.898343622786,Agence_Centre,UBA,Douala
46487.69937914996,24887.56319529513,1485.1082664369715,1778.276562266879,6.141862443190114,3848.9276281473994,46121.4923350009,Agence_Centre,Ecobank,Bafoussam
46487.945645762295,22754.39769795225,3170.634965898351,832.2592154500543,2.366097827075073,12217.541484104704,32207.62216463343,Agence_Centre,Société Générale,Yaoundé
73688.19223261088,26266.352540194126,3000.9643802897795,1743.0181447088185,4.834980851068038,11521.06081640607,43542.790900487234,Agence_Centre,Société Générale,Bafoussam
61511.52093729363,24446.202611773788,2346.3290951454474,726.3480055308172,4.291494919583219,9827.813904777891,37141.19589933259,Agence_Sud,Société Générale,Garoua
42957.88421097572,27346.869007235346,3527.3965347459243,2041.3455269435367,0.7489584200198374,5813.654485734784,35073.77820724324,Agence_Centre,Ecobank,Garoua
58138.40065378947,16253.353519076025,3750.0561101012468,1264.4376740910607,1.0616035354746722,7876.267177977774,61826.782386403895,Agence_Nord,BGFI,Bafoussam
43048.734607813065,29221.75845944028,1713.9521085048207,1453.1819056304146,8.374725196187745,9211.759756940488,54126.21955821207,Agence_Nord,Société Générale,Douala
43014.05369644615,21383.197232846796,2389.8201771470285,2162.898323771095,2.3981995220659025,5212.31809427766,41640.959768790766,Agence_Nord,Société Générale,Douala
53629.43407349051,34526.82610837686,2384.6861201701613,856.418215707875,1.9495827149863054,7782.914025930301,12349.4567686724,Agence_Nord,BGFI,Yaoundé
21300.79633013303,15175.685273373025,2248.0775191129082,801.4409074435043,5.049114512501393,11956.99101453004,35667.88932096917,Agence_Nord,Ecobank,Yaoundé
24126.23251230451,32151.746622156745,3663.5798735453986,1208.2003368269975,7.68747131362513,14281.91609286765,72436.33077286101,Agence_Nord,BGFI,Douala
41565.68706138541,21385.375484238535,2844.9390889817573,2019.1894255096583,0.6194651857898792,8741.695742024349,37232.0600003235,Agence_Sud,BGFI,Bafoussam
34807.53319498364,15440.073974698862,2788.3881269515114,740.3269622615788,5.768079196382558,12269.465062948295,53238.610864643895,Agence_Nord,BGFI,Yaoundé
54713.709988929106,16612.79916161975,1396.910108474597,83.92220094471554,1.1921044284057336,4257.819788237598,57303.30882343121,Agence_Centre,BGFI,Douala
36379.638867181835,17757.568842639757,3508.3344241673813,1274.4205707955007,0.3646105082561846,11978.353723340835,42627.5669902717,Agence_Nord,Ecobank,Douala
28815.44447997063,22969.161624813416,2008.593284117222,1775.8703999554602,0.5274395216221739,7588.154755817557,29898.140417582174,Agence_Sud,Ecobank,Bafoussam
71984.7315338233,23659.848416248497,3047.9461042130624,2100.1308748694146,8.341641082084413,10922.03685012391,10776.25201860534,Agence_Nord,BGFI,Garoua
46613.355492701965,15984.099972429947,3221.9015503665532,1268.4193189573004,1.1797248362806156,9256.742745280872,48209.958503307455,Agence_Centre,UBA,Douala
51012.92307031886,19829.51785417312,4088.5268766709205,1294.2866964419989,0.4515136441229195,13961.242029351502,30222.927966117422,Agence_Centre,UBA,Yaoundé
28628.77720679815,34995.89251028305,1952.9436807047102,2076.9503671278735,4.378998871429123,7376.6930549802455,42113.80542265231,Agence_Sud,UBA,Bafoussam
41834.25913212226,32092.802190704977,584.3902753433399,565.1291501522898,8.439934719420247,11882.818892685493,25002.155924927632,Agence_Sud,UBA,Bafoussam
51663.83884564799,23054.265687718223,3147.079635802956,1305.7396124084953,2.6240837648930193,9161.4776101104,36817.149514357574,Agence_Sud,Société Générale,Bafoussam
32735.09633866546,20266.0243471774,4440.408945208683,1595.2119449625288,4.217126175259164,9525.083565971008,40404.62865881264,Agence_Sud,Ecobank,Garoua
55635.47027518508,20840.21928702783,3991.15708235155,1724.609360642517,0.39922532563751223,9448.438320522371,43223.12297253157,Agence_Nord,Ecobank,Garoua
40990.419651217926,24294.625809112917,3167.7275322197006,1245.0966534045588,4.490785141348759,7462.9806865176615,26622.133751771027,Agence_Nord,BGFI,Yaoundé
